"11"," SUBASTA SUB-JA-2018-110607"," Expediente: 0114/14","JUZGADO 1ª INST E INSTRUCC. 1 - ARZUA"," Estado: Celebrándose - [Conclusión prevista: 26/11/2018 a las 18:00:00] ","LOTE ÚNICO, Modelo de vehículo a subastar: TRACTOR FIAT MODELO 80 90 DT, MATRICULA E-8337-BBW,","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-110607&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"12"," SUBASTA SUB-JA-2018-110735"," Expediente: 0124/16","JUZGADO SOCIAL 2 - SANTIAGO DE COMPOSTELA"," Estado: Celebrándose - [Conclusión prevista: 21/11/2018 a las 18:00:00] ","finca nº 18536 del municipio de Ames. vivienda piso. localizacion en Lugar de Milladoiro, C/Magdalena, nº4 , bloque I, planta 2, puerta C. tiene una superficie de 83 m2.","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-110735&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"13"," SUBASTA SUB-JV-2018-110683"," Expediente: 0013/15","JUZGADO SOCIAL 4 - CORUÑA (A)"," Estado: Celebrándose - [Conclusión prevista: 21/11/2018 a las 18:00:00] ","LINEA DE GRAPAS DE 6 ESTACIONES STACKER Y 2496 CABEZALES OMEGA","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2018-110683&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"14"," SUBASTA SUB-JC-2018-107430"," Expediente: 0366/16","JUZGADO MERCANTIL 3 PONTEVEDRA SEDE DESPLAZADA - VIGO"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","FINCA REGISTRAL 53988 REGISTRO DE LA PROPIEDAD DE FERROL","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JC-2018-107430&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"15"," SUBASTA SUB-JA-2018-108848"," Expediente: 0079/13","JUZGADO 1ª INSTANCIA 2 - FERROL"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","VIVIENDA UNIFAMILIAR SITA EN AS PONTES DE 292 M2","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-108848&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"16"," SUBASTA SUB-JV-2018-109150"," Expediente: 0462/13","JUZGADO MERCANTIL 2 - A CORUÑA"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","LOTE UNICO-33% FINCA SITA EN OZA DOS RÍOS,","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2018-109150&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"17"," SUBASTA SUB-JA-2018-109459"," Expediente: 0150/16","JUZGADO 1ª INSTANCIA 13 - A CORUÑA"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","FINCA NUMERO TRES CALLE MONASTERIO DE SOBRADO FINCA Nº 13 PISO TERCERO DERECHA ANTERIOR FINCA REGISTRAL 62268 DEL REGISTRO DE LA PROPIEDAD Nº 1 A CORUÑA","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-109459&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"18"," SUBASTA SUB-JA-2018-106113 (8 lotes) "," Expediente: 0196/12","JUZGADO 1ª INST E INSTRUCC. 1 - RIBEIRA"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","Subasta con varios lotes. Lote 1: LOCAL NUMERO 39, TRASTERO 20 DEL POLIGONO A BESADAS B DE RIBEIRA Lote 2: LOCAL NUMERO 40 DESTINADO A FORMAR TRASTERO NUMERO 21 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 3: LOCAL NUMERO 57 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 9 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 4: LOCAL NUMERO 51 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 3 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 5: LOCAL NUMERO 58 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 3 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 6: LOCAL NUMERO 66 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 18 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 7: LOCAL NUMERO 67 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 19 DEL POLIGONO DE ABESADAS B DE RIBEIRA Lote 8: LOCAL NUMERO 68 DESTINADO A FORMAR LA PLAZA DE APARCAMIENTO NUMERO 20 DEL POLIGONO DE ABESADAS B DE RIBEIRA","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-106113&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"19"," SUBASTA SUB-JA-2018-109875"," Expediente: 0117/15","JUZGADO 1ª INSTANCIA 4 - SANTIAGO DE COMPOSTELA"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","URBANA - PARCELA DE REEMPLAZO","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-109875&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
"20"," SUBASTA SUB-JA-2018-107350"," Expediente: 0376/13","JUZGADO 1ª INSTANCIA 1 - FERROL"," Estado: Celebrándose - [Conclusión prevista: 19/11/2018 a las 18:00:00] ","ENTREPLANTA SIN DIVIDIR, DESTINADA A USOS COMERCIALES O INDUSTRIALES EN UN EDIFICIO EN CONSTRUCCIÓN EN LA AVDA. MARQUÉS DE FIGUEROA Nº 21 DE FENE","https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2018-107350&idBus=_RGdlaDR2UXgrWWlnV01jMEU1dWtjSEYxemJoYTY5SFVXYmI1SHAwNWJZYml3UmxUYTVHVnI0K28xWGw4dmxnaEtBcU1ZenNEWXl6TjN1cEVhb0Z5V3RiMjJ1S0dycW9UM3EzNDJMT2VGeHJLMVBsZjNXOSt0d3cxTGR1bWhQQW9Fc2QydDE4S3gvODZncFJ4TWdDa0V0YzBHbGMwZG1qMW1PTjdkUDdvRGN2RDkvbjhBcXluTWdHMG01aVg2OXNtQ1ZEalY3VUZFVFQvY2N0eVVKU1NFMG5NcnU5TjRzWDV2akxYblZ4aGN1dmE1UVRlZUVqdmhnRWxIejNFb082ZmZlYkkrRk1EWHhucklXQXNEOU90T2toNzB0MzBTNjBuakJGUnN4Zk54VG89"
